#Table1
class,g,r,z
GALAXY,25.10282,18.01291,0.1237411
GALAXY,22.37525,20.59742,0.5296527
GALAXY,21.88887,20.30892,0.6075926
GALAXY,21.68226,20.2389,0.5297819
GALAXY,21.68226,20.2389,0.5298895
QSO,21.52956,21.36605,2.232534
GALAXY,17.60891,16.5561,0.1439614
QSO,19.45627,19.44777,2.693239
GALAXY,19.34736,17.92463,0.2312349
GALAXY,21.37096,20.10165,0.5151032
GALAXY,22.19956,20.59807,0.5306497
GALAXY,22.19956,20.59807,0.530468
GALAXY,21.29865,19.65731,0.545575
QSO,18.49618,18.32561,0.9811271
GALAXY,22.26624,20.57364,0.5297141
GALAXY,22.25832,21.11206,0.5788851
QSO,18.96915,18.63267,0.433724
GALAXY,18.86098,17.60035,0.1911701
GALAXY,15.66462,14.96531,0.05245277
GALAXY,16.70384,15.83169,0.02569302
GALAXY,20.2771,18.69385,0.297237
GALAXY,22.52299,20.69538,0.5124843
GALAXY,20.85955,19.06078,0.4353047
GALAXY,22.29847,20.95712,0.6350143
GALAXY,22.27987,20.78338,0.5460977
GALAXY,17.71961,16.88926,0.05033805
GALAXY,20.89712,18.94798,0.429748
GALAXY,16.77362,15.87438,0.07736504
GALAXY,16.77362,15.87438,0.07733578
GALAXY,18.37893,17.50128,0.0771817
GALAXY,15.26592,14.43307,0.04997522
GALAXY,18.1989,17.54933,0.1182315
GALAXY,18.1989,17.54933,0.1182185
GALAXY,20.71103,18.70131,0.3611151
GALAXY,22.62224,20.73504,0.5462514
GALAXY,21.52633,20.73313,0.7980033
GALAXY,22.01379,20.24613,0.5452586
GALAXY,22.36504,20.5936,0.5451605
GALAXY,20.61809,18.7606,0.3033617
GALAXY,21.84697,20.58664,0.6859023
GALAXY,15.51932,14.56519,0.05211984
GALAXY,15.51932,14.56519,0.05209216
GALAXY,17.92348,16.88797,0.05330114
GALAXY,17.85989,16.84995,0.1250686
GALAXY,20.25902,18.38224,0.3502899
GALAXY,17.62123,16.46192,0.05455462
GALAXY,18.86312,17.74475,0.05348853
GALAXY,17.57199,16.39611,0.05278205
GALAXY,18.5913,17.45066,0.05272237
GALAXY,18.5913,17.45066,0.05272808
GALAXY,21.48394,19.46165,0.3367999
GALAXY,17.94606,17.05773,0.0539526
GALAXY,18.31184,17.08836,0.1183404
GALAXY,18.49745,17.66712,0.1218743
GALAXY,21.5645,20.25286,0.5783798
GALAXY,21.67334,20.48626,0.625591
GALAXY,22.43292,20.52757,0.5114128
GALAXY,22.06568,21.01064,0.3364103
GALAXY,18.56002,17.85604,0.04975093
GALAXY,17.94326,17.4894,0.05299084
GALAXY,18.68769,17.68975,0.1224157
GALAXY,17.25058,16.68086,0.05327781
GALAXY,17.25058,16.68086,0.05325393
GALAXY,17.77925,17.19017,0.05265518
GALAXY,17.08944,16.71369,0.05346759
GALAXY,17.92844,17.40161,0.05325994
GALAXY,22.23521,20.80458,0.5220274
GALAXY,21.48598,20.49494,0.6848941
GALAXY,23.19735,20.91935,0.6246884
GALAXY,18.49353,17.50799,0.1261646
GALAXY,18.49353,17.50799,0.1261526
GALAXY,17.69001,16.7824,0.1008734
QSO,20.97,20.92726,0.6492655
GALAXY,21.54823,20.22614,0.5539211
GALAXY,22.11271,20.57778,0.5070652
GALAXY,22.82203,21.36984,0.7235453
QSO,18.46169,18.35002,0.9278754
QSO,18.46169,18.35002,0.9287443
QSO,18.20245,18.17717,0.7266728
QSO,18.20245,18.17717,0.7263246
GALAXY,18.25131,17.4187,0.1312786
GALAXY,18.25131,17.4187,0.131275
GALAXY,18.27988,17.44608,0.06570856
GALAXY,18.27988,17.44608,0.06575461
GALAXY,17.98912,17.24744,0.1375944
GALAXY,17.98912,17.24744,0.1375907
GALAXY,21.41856,20.74452,0.7277846
QSO,20.84766,20.77852,0.8844745
GALAXY,21.35436,20.4507,0.6576743
QSO,21.33599,20.13418,6.863198
GALAXY,22.86827,20.88912,0.6378962
GALAXY,22.3696,20.65194,0.6387687
GALAXY,21.89071,20.10608,0.5119224
GALAXY,18.29694,17.21435,0.1460408
GALAXY,18.29694,17.21435,0.1461407
GALAXY,22.02996,19.82036,0.5137253
GALAXY,22.15029,20.71793,0.5556682
GALAXY,22.11908,20.66385,0.6376747
GALAXY,21.58627,20.50363,0.5461701
GALAXY,22.76226,20.75242,0.6354746
GALAXY,18.00618,17.15115,0.09742529
GALAXY,18.00618,17.15115,0.09741241
QSO,18.81997,18.77502,1.596011
QSO,18.81997,18.77502,1.596405
GALAXY,18.06046,17.16598,0.1519616
GALAXY,18.06046,17.16598,0.15192
GALAXY,17.9342,17.54343,0.1515589
GALAXY,17.9342,17.54343,0.1515603
QSO,19.30166,19.34076,0.6376352
QSO,19.4511,19.29399,0.7350233
QSO,20.19333,20.09351,1.562513
GALAXY,22.82696,21.21479,0.655748
GALAXY,21.55309,20.19508,0.5080355
GALAXY,21.55309,20.19508,0.5077694
GALAXY,22.79531,20.92166,0.6441333
GALAXY,18.48686,17.46666,0.1214269
GALAXY,18.48686,17.46666,0.1215034
QSO,21.03664,20.79645,2.419448
GALAXY,21.79736,20.2073,0.5656077
GALAXY,22.74018,21.07378,0.5642874
QSO,18.49468,18.40841,2.189956
QSO,18.49468,18.40841,2.191215
GALAXY,20.41825,18.7219,0.3278139
GALAXY,18.19102,17.41117,0.06545231
GALAXY,18.19102,17.41117,0.06544639
QSO,19.49601,19.3863,2.706612
QSO,19.50117,19.64258,2.478532
GALAXY,20.34789,19.82561,0.1661216
GALAXY,22.69952,20.71183,0.5479101
GALAXY,21.30717,19.63088,0.4838655
GALAXY,22.12236,20.73384,0.5449641
GALAXY,21.59169,20.0902,0.4942881
QSO,21.70801,21.76569,1.476023
GALAXY,18.61001,17.63561,0.1671125
GALAXY,18.61001,17.63561,0.1671649
GALAXY,17.40576,16.34244,0.1672136
GALAXY,17.40576,16.34244,0.1671632
GALAXY,20.09863,19.28938,0.1657524
GALAXY,18.219,17.73709,0.153808
GALAXY,18.219,17.73709,0.1537792
GALAXY,17.73812,16.92164,0.170104
GALAXY,19.28555,18.6555,0.1467915
GALAXY,19.93096,18.59831,0.3168793
GALAXY,19.09242,18.40044,0.1641885
GALAXY,19.55378,18.9985,0.1463174
GALAXY,19.37357,18.70832,0.164556
GALAXY,20.07133,19.70954,0.1638087
GALAXY,21.96308,20.55255,0.6191778
GALAXY,20.24268,19.4419,0.3436018
GALAXY,21.06124,19.51392,0.4492062
GALAXY,21.22683,21.20578,0.8598218
GALAXY,20.61115,20.16895,0.223914
GALAXY,20.47815,19.28959,0.2989628
GALAXY,21.67002,20.48442,0.4502596
GALAXY,22.27678,21.14723,0.4493273
GALAXY,20.67903,19.88494,0.1640696
GALAXY,20.14724,19.52778,0.1547539
GALAXY,21.13131,20.21952,0.3707593
GALAXY,20.75022,20.03394,0.1692589
GALAXY,22.28743,20.58134,0.5292617
GALAXY,21.89979,20.52818,0.3172783
GALAXY,20.51878,19.68155,0.1681276
GALAXY,20.452,19.97659,0.1427414
GALAXY,21.70171,20.1548,0.4112722
GALAXY,18.85085,17.56961,0.211995
GALAXY,18.85085,17.56961,0.2118236
GALAXY,17.23412,16.67523,0.09442181
GALAXY,17.23412,16.67523,0.09444475
GALAXY,20.77408,19.16367,0.4472921
QSO,22.96763,22.2155,0.2485074
QSO,22.96763,22.2155,3.174457
GALAXY,17.78075,16.90307,0.1210999
GALAXY,17.78075,16.90307,0.121077
GALAXY,18.28559,17.22367,0.1380717
GALAXY,18.28559,17.22367,0.1380548
GALAXY,17.3131,16.35899,0.1386862
GALAXY,17.3131,16.35899,0.1387181
GALAXY,17.91528,16.87629,0.1209613
GALAXY,17.91528,16.87629,0.1209111
GALAXY,18.82568,17.65636,0.1770492
GALAXY,18.82568,17.65636,0.1769913
GALAXY,22.96045,21.02369,0.5798163
GALAXY,22.47034,20.99129,0.7291693
GALAXY,22.30646,20.71465,0.5818941
GALAXY,21.04514,19.31844,0.2905678
GALAXY,21.52751,20.16235,0.3792917
GALAXY,21.76404,19.67524,0.3434319
QSO,22.08016,22.0134,1.274844
QSO,19.86751,19.74623,2.423801
QSO,19.86751,19.74623,2.425379
GALAXY,20.81606,19.05205,0.3452975
QSO,20.97057,20.83315,2.795669
GALAXY,22.81715,21.08868,0.723547
GALAXY,21.3943,20.6237,0.7274925
GALAXY,21.14681,20.43257,0.576797
GALAXY,20.88208,18.98859,0.3614293
GALAXY,-9999,-9999,0.1515374
GALAXY,-9999,-9999,0.1515654
GALAXY,19.89799,18.27554,0.3699
QSO,21.27815,21.25738,2.416993
GALAXY,21.834,20.79889,0.6299421
GALAXY,21.83024,20.10216,0.5130792
GALAXY,21.60934,20.07628,0.5108927
QSO,20.97882,20.83395,3.068429
GALAXY,22.75267,20.83948,0.6283429
QSO,19.88373,19.65652,2.354866
QSO,19.88373,19.65652,2.356603
GALAXY,18.16895,17.30886,0.08253302
GALAXY,18.16895,17.30886,0.08260613
GALAXY,20.84742,19.93002,0.6854169
GALAXY,22.30087,20.83148,0.5897763
GALAXY,22.55594,21.05958,0.5920579
QSO,18.30729,18.2177,1.738802
QSO,18.30729,18.2177,1.742004
QSO,21.63462,21.84199,2.257419
QSO,21.3574,21.19341,3.25954
QSO,18.08928,17.87006,0.916108
QSO,18.08928,17.87006,0.916544
GALAXY,18.9488,17.6586,0.2019282
GALAXY,18.9488,17.6586,0.2018722
GALAXY,18.88577,17.74619,0.1610679
GALAXY,18.88577,17.74619,0.1612099
GALAXY,21.14783,19.42477,0.427476
QSO,21.07538,20.82464,2.36098
GALAXY,15.40807,15.23481,0.03388264
GALAXY,15.40807,15.23481,0.03386881
GALAXY,15.40807,15.23481,0.03387971
GALAXY,20.26897,19.96482,0.03368619
GALAXY,17.94651,17.52277,0.03240076
GALAXY,17.94651,17.52277,0.03234835
GALAXY,15.99919,15.14205,0.03347379
GALAXY,15.99919,15.14205,0.03346478
GALAXY,15.99919,15.14205,0.03347733
GALAXY,22.81315,20.92216,0.544526
GALAXY,18.79683,17.70239,0.1401367
GALAXY,18.79683,17.70239,0.1401337
GALAXY,17.97077,16.88649,0.1396006
GALAXY,17.97077,16.88649,0.1396264
GALAXY,19.44304,17.94838,0.2716972
GALAXY,19.44304,17.94838,0.2716744
GALAXY,19.44304,17.94838,0.2716944
QSO,20.83406,20.80052,2.419054
GALAXY,18.23656,17.12679,0.1384578
GALAXY,18.23656,17.12679,0.1384556
GALAXY,18.23656,17.12679,0.1384157
GALAXY,22.02563,20.76306,0.4975092
GALAXY,16.98727,16.06243,0.04779874
GALAXY,16.98727,16.06243,0.04782956
GALAXY,16.98727,16.06243,0.04782268
GALAXY,18.16726,17.25603,0.08141228
GALAXY,18.16726,17.25603,0.08140436
GALAXY,18.16726,17.25603,0.08141904
GALAXY,16.37357,15.35883,0.08194585
GALAXY,16.37357,15.35883,0.08196589
GALAXY,16.37357,15.35883,0.08189316
GALAXY,17.44862,16.38865,0.1120148
GALAXY,18.33914,17.29789,0.1383291
GALAXY,18.33914,17.29789,0.1382753
GALAXY,18.33914,17.29789,0.1382874
GALAXY,17.67414,16.96236,0.08232335
GALAXY,17.67414,16.96236,0.08227807
GALAXY,17.67414,16.96236,0.08230957
GALAXY,17.46989,16.65357,0.08283336
GALAXY,17.46989,16.65357,0.08289541
GALAXY,17.46989,16.65357,0.08287931
GALAXY,21.39478,19.89654,0.4467724
GALAXY,21.68545,20.35405,0.6092693
GALAXY,20.69842,18.92144,0.4031609
GALAXY,22.32365,20.90839,0.4726736
GALAXY,17.90119,17.39108,0.08127447
GALAXY,17.90119,17.39108,0.08127045
GALAXY,17.90119,17.39108,0.081264
GALAXY,18.36903,17.63321,0.09555963
GALAXY,18.36903,17.63321,0.0955138
GALAXY,18.36903,17.63321,0.0955038
GALAXY,19.81495,18.32264,0.261459
GALAXY,21.54299,20.81149,0.6093352
GALAXY,22.98252,20.82946,0.5832558
GALAXY,21.51999,20.56423,0.7340668
GALAXY,18.18608,17.26313,0.1103052
GALAXY,18.18608,17.26313,0.1101589
GALAXY,18.18608,17.26313,0.1102181
QSO,20.02316,19.16101,0.2829761
QSO,20.02316,19.16101,0.2830288
QSO,20.02316,19.16101,0.2829691
GALAXY,19.49922,17.89581,0.2835364
GALAXY,19.49922,17.89581,0.2837338
GALAXY,19.49922,17.89581,0.2835925
GALAXY,18.90549,17.88396,0.1099914
GALAXY,18.90549,17.88396,0
GALAXY,18.90549,17.88396,0.109975
GALAXY,19.38503,17.94635,0.2238639
GALAXY,18.02124,17.18651,0.1096171
GALAXY,18.02124,17.18651,0.1096712
GALAXY,18.02124,17.18651,0.1096254
GALAXY,18.51427,17.29509,0.2208277
GALAXY,18.51427,17.29509,0.2208094
GALAXY,18.51427,17.29509,0.2208342
GALAXY,18.0747,17.26488,1.002166
GALAXY,18.0747,17.26488,0.08210266
GALAXY,18.0747,17.26488,0.08205603
GALAXY,21.61849,20.11671,0.5360239
GALAXY,21.61849,20.11671,0.5368187
QSO,20.70367,20.36991,2.911751
QSO,18.58039,18.57294,1.585408
QSO,18.58039,18.57294,1.585987
QSO,18.58039,18.57294,1.585109
GALAXY,18.70132,17.70608,0.08219212
GALAXY,18.70132,17.70608,0.08221744
GALAXY,18.70132,17.70608,0.08219874
GALAXY,19.84937,18.25692,0.285257
GALAXY,19.84937,18.25692,0.2854162
GALAXY,19.84937,18.25692,0.2852127
QSO,16.60367,16.09615,0.08223163
QSO,16.60367,16.09615,0.08225795
QSO,16.60367,16.09615,0.0821794
GALAXY,16.149,15.20604,0.07406541
GALAXY,16.149,15.20604,0.07408302
GALAXY,16.149,15.20604,0.07402559
GALAXY,17.40589,16.97614,0.07575908
GALAXY,17.40589,16.97614,0.07575108
GALAXY,17.40589,16.97614,0.07574287
GALAXY,18.5609,17.66318,0.1740871
GALAXY,18.5609,17.66318,0.174075
GALAXY,18.78545,17.83942,0.1736301
GALAXY,18.78545,17.83942,0.1736286
GALAXY,18.78545,17.83942,0.1736672
GALAXY,17.3049,16.45185,0.07442714
GALAXY,17.3049,16.45185,0.07436623
GALAXY,17.3049,16.45185,0.0744108
GALAXY,17.28685,16.61623,0.07431711
GALAXY,17.28685,16.61623,0.07432845
GALAXY,17.78184,16.91376,0.07566549
GALAXY,17.78184,16.91376,0.0756647
GALAXY,17.78184,16.91376,0.07563096
